data,nome,abrangencia,ano
2018-01-01,Confraternização mundial,NACIONAL,2018
2018-02-12,Carnaval,NACIONAL,2018
2018-02-13,Carnaval,NACIONAL,2018
2018-03-30,Sexta-feira Santa,NACIONAL,2018
2018-04-01,Páscoa,NACIONAL,2018
2018-04-21,Tiradentes,NACIONAL,2018
2018-05-01,Dia do trabalho,NACIONAL,2018
2018-05-31,Corpus Christi,NACIONAL,2018
2018-09-07,Independência do Brasil,NACIONAL,2018
2018-10-12,Nossa Senhora Aparecida,NACIONAL,2018
2018-11-02,Finados,NACIONAL,2018
2018-11-15,Proclamação da República,NACIONAL,2018
2018-12-25,Natal,NACIONAL,2018
2019-01-01,Confraternização mundial,NACIONAL,2019
2019-03-04,Carnaval,NACIONAL,2019
2019-03-05,Carnaval,NACIONAL,2019
2019-04-19,Sexta-feira Santa,NACIONAL,2019
2019-04-21,Páscoa,NACIONAL,2019
2019-04-21,Tiradentes,NACIONAL,2019
2019-05-01,Dia do trabalho,NACIONAL,2019
2019-06-20,Corpus Christi,NACIONAL,2019
2019-09-07,Independência do Brasil,NACIONAL,2019
2019-10-12,Nossa Senhora Aparecida,NACIONAL,2019
2019-11-02,Finados,NACIONAL,2019
2019-11-15,Proclamação da República,NACIONAL,2019
2019-12-25,Natal,NACIONAL,2019
2020-01-01,Confraternização mundial,NACIONAL,2020
2020-02-24,Carnaval,NACIONAL,2020
2020-02-25,Carnaval,NACIONAL,2020
2020-04-10,Sexta-feira Santa,NACIONAL,2020
2020-04-12,Páscoa,NACIONAL,2020
2020-04-21,Tiradentes,NACIONAL,2020
2020-05-01,Dia do trabalho,NACIONAL,2020
2020-06-11,Corpus Christi,NACIONAL,2020
2020-09-07,Independência do Brasil,NACIONAL,2020
2020-10-12,Nossa Senhora Aparecida,NACIONAL,2020
2020-11-02,Finados,NACIONAL,2020
2020-11-15,Proclamação da República,NACIONAL,2020
2020-12-25,Natal,NACIONAL,2020
2021-01-01,Confraternização mundial,NACIONAL,2021
2021-02-15,Carnaval,NACIONAL,2021
2021-02-16,Carnaval,NACIONAL,2021
2021-04-02,Sexta-feira Santa,NACIONAL,2021
2021-04-04,Páscoa,NACIONAL,2021
2021-04-21,Tiradentes,NACIONAL,2021
2021-05-01,Dia do trabalho,NACIONAL,2021
2021-06-03,Corpus Christi,NACIONAL,2021
2021-09-07,Independência do Brasil,NACIONAL,2021
2021-10-12,Nossa Senhora Aparecida,NACIONAL,2021
2021-11-02,Finados,NACIONAL,2021
2021-11-15,Proclamação da República,NACIONAL,2021
2021-12-25,Natal,NACIONAL,2021
2022-01-01,Confraternização mundial,NACIONAL,2022
2022-02-28,Carnaval,NACIONAL,2022
2022-03-01,Carnaval,NACIONAL,2022
2022-04-15,Sexta-feira Santa,NACIONAL,2022
2022-04-17,Páscoa,NACIONAL,2022
2022-04-21,Tiradentes,NACIONAL,2022
2022-05-01,Dia do trabalho,NACIONAL,2022
2022-06-16,Corpus Christi,NACIONAL,2022
2022-09-07,Independência do Brasil,NACIONAL,2022
2022-10-12,Nossa Senhora Aparecida,NACIONAL,2022
2022-11-02,Finados,NACIONAL,2022
2022-11-15,Proclamação da República,NACIONAL,2022
2022-12-25,Natal,NACIONAL,2022
2023-01-01,Confraternização mundial,NACIONAL,2023
2023-02-20,Carnaval,NACIONAL,2023
2023-02-21,Carnaval,NACIONAL,2023
2023-04-07,Sexta-feira Santa,NACIONAL,2023
2023-04-09,Páscoa,NACIONAL,2023
2023-04-21,Tiradentes,NACIONAL,2023
2023-05-01,Dia do trabalho,NACIONAL,2023
2023-06-08,Corpus Christi,NACIONAL,2023
2023-09-07,Independência do Brasil,NACIONAL,2023
2023-10-12,Nossa Senhora Aparecida,NACIONAL,2023
2023-11-02,Finados,NACIONAL,2023
2023-11-15,Proclamação da República,NACIONAL,2023
2023-12-25,Natal,NACIONAL,2023
2024-01-01,Confraternização mundial,NACIONAL,2024
2024-02-12,Carnaval,NACIONAL,2024
2024-02-13,Carnaval,NACIONAL,2024
2024-03-29,Sexta-feira Santa,NACIONAL,2024
2024-03-31,Páscoa,NACIONAL,2024
2024-04-21,Tiradentes,NACIONAL,2024
2024-05-01,Dia do trabalho,NACIONAL,2024
2024-05-30,Corpus Christi,NACIONAL,2024
2024-09-07,Independência do Brasil,NACIONAL,2024
2024-10-12,Nossa Senhora Aparecida,NACIONAL,2024
