escopo,nome_escopo,grupo,mes,indice_admissoes,indice_desligamentos,anos,amostra_media
31,MG,78,1,1.0002,1.0745,3,5375.2
31,MG,78,2,1.0037,0.9277,3,5375.2
31,MG,78,3,1.1283,0.9282,3,5375.2
31,MG,78,4,0.9902,0.935,3,5375.2
31,MG,78,5,1.0002,1.0778,3,5375.2
31,MG,78,6,1.062,0.9507,3,5375.2
31,MG,78,7,1.0159,1.038,3,5375.2
31,MG,78,8,0.968,0.9763,3,5375.2
31,MG,78,9,1.0112,1.0129,3,5375.2
31,MG,78,10,1.1199,1.0006,3,5375.2
31,MG,78,11,1.0056,1.0336,3,5375.2
31,MG,78,12,0.6949,1.0446,3,5375.2
312510,Extrema,78,1,0.7032,0.9595,3,496.7
312510,Extrema,78,2,1.1381,1.0553,3,496.7
312510,Extrema,78,3,1.0651,0.9587,3,496.7
312510,Extrema,78,4,0.9323,0.8218,3,496.7
312510,Extrema,78,5,0.9546,0.8183,3,496.7
312510,Extrema,78,6,0.8653,0.945,3,496.7
312510,Extrema,78,7,0.9297,0.9079,3,496.7
312510,Extrema,78,8,1.166,0.9793,3,496.7
312510,Extrema,78,9,1.0057,1.0649,3,496.7
312510,Extrema,78,10,1.3022,1.164,3,496.7
312510,Extrema,78,11,1.2533,1.1538,3,496.7
312510,Extrema,78,12,0.6845,1.1712,3,496.7
312510,Extrema,A,1,1.6059,1.3633,2,1.9
312510,Extrema,A,2,0.9064,0.648,2,1.9
312510,Extrema,A,3,0.9064,1.4306,2,1.9
312510,Extrema,A,4,1.2709,0.9088,2,1.9
312510,Extrema,A,5,1.1133,1.0351,2,1.9
312510,Extrema,A,6,0.6995,1.0351,2,1.9
312510,Extrema,A,7,1.1133,0.4544,2,1.9
312510,Extrema,A,8,0.8571,1.2959,2,1.9
312510,Extrema,A,9,1.1921,0.648,2,1.9
312510,Extrema,A,10,1.064,1.0435,2,1.9
312510,Extrema,A,11,0.2069,0.5217,2,1.9
312510,Extrema,A,12,1.064,1.6157,2,1.9
312510,Extrema,C,1,1.1849,0.8905,3,609.9
312510,Extrema,C,2,1.093,0.9813,3,609.9
312510,Extrema,C,3,1.1416,0.8265,3,609.9
312510,Extrema,C,4,1.1781,0.9902,3,609.9
312510,Extrema,C,5,0.9714,1.0322,3,609.9
312510,Extrema,C,6,0.9655,0.9999,3,609.9
312510,Extrema,C,7,0.9377,1.1491,3,609.9
312510,Extrema,C,8,1.309,1.0082,3,609.9
312510,Extrema,C,9,1.0347,0.9681,3,609.9
312510,Extrema,C,10,0.893,0.9256,3,609.9
312510,Extrema,C,11,0.7744,0.9615,3,609.9
312510,Extrema,C,12,0.5168,1.2668,3,609.9
312510,Extrema,D,1,0.7473,0.8,2,1.4
312510,Extrema,D,2,3.0989,2.4,2,1.4
312510,Extrema,D,3,0.0,2.0,2,1.4
312510,Extrema,D,4,1.6044,0.0,2,1.4
312510,Extrema,D,5,0.2857,1.2,2,1.4
312510,Extrema,D,6,1.033,0.8,2,1.4
312510,Extrema,D,7,1.3846,0.8,2,1.4
312510,Extrema,D,8,1.6703,0.4,2,1.4
312510,Extrema,D,9,1.033,0.0,2,1.4
312510,Extrema,D,10,0.2857,0.8,2,1.4
312510,Extrema,D,11,0.8571,0.8,2,1.4
312510,Extrema,D,12,0.0,2.0,2,1.4
