competencia,escopo,grupo,admissoes,desligamentos,saldo,nome_escopo
2023-01,31,78,4833,5333,-500,MG
2023-02,31,78,3602,4079,-477,MG
2023-03,31,78,5472,3814,1658,MG
2023-04,31,78,4260,3559,701,MG
2023-05,31,78,4976,4364,612,MG
2023-06,31,78,4842,4217,625,MG
2023-07,31,78,4313,4375,-62,MG
2023-08,31,78,4957,4156,801,MG
2023-09,31,78,4773,4789,-16,MG
2023-10,31,78,5519,4159,1360,MG
2023-11,31,78,4598,4401,197,MG
2023-12,31,78,3430,4258,-828,MG
2024-01,31,78,5474,4893,581,MG
2024-02,31,78,5012,4773,239,MG
2024-03,31,78,6189,5053,1136,MG
2024-04,31,78,5589,5623,-34,MG
2024-05,31,78,5069,5848,-779,MG
2024-06,31,78,5898,4824,1074,MG
2024-07,31,78,5929,5420,509,MG
2024-08,31,78,5042,5359,-317,MG
2024-09,31,78,5410,5343,67,MG
2024-10,31,78,6310,5659,651,MG
2024-11,31,78,6190,5357,833,MG
2024-12,31,78,3658,5435,-1777,MG
2025-01,31,78,5762,6426,-664,MG
2025-02,31,78,7932,5664,2268,MG
2025-03,31,78,6459,5727,732,MG
2025-04,31,78,6200,5557,643,MG
2025-05,31,78,6021,6763,-742,MG
2025-06,31,78,6400,5829,571,MG
2025-07,31,78,6222,6513,-291,MG
2025-08,31,78,5495,5769,-274,MG
2025-09,31,78,6110,5558,552,MG
2025-10,31,78,6114,5863,251,MG
2025-11,31,78,5379,6469,-1090,MG
2025-12,31,78,4070,6782,-2712,MG
2023-01,312510,78,250,308,-58,Extrema
2023-02,312510,78,303,318,-15,Extrema
2023-03,312510,78,325,333,-8,Extrema
2023-04,312510,78,320,221,99,Extrema
2023-05,312510,78,453,281,172,Extrema
2023-06,312510,78,355,366,-11,Extrema
2023-07,312510,78,337,292,45,Extrema
2023-08,312510,78,547,334,213,Extrema
2023-09,312510,78,382,364,18,Extrema
2023-10,312510,78,535,398,137,Extrema
2023-11,312510,78,462,401,61,Extrema
2023-12,312510,78,246,363,-117,Extrema
