codigo_ibge,nome,uf,microrregiao,mesorregiao,regiao_imediata,regiao_intermediaria
3100104,Abadia dos Dourados,MG,Patrocínio,Triângulo Mineiro/Alto Paranaíba,Monte Carmelo,Uberlândia
3100203,Abaeté,MG,Três Marias,Central Mineira,Abaeté,Divinópolis
3100302,Abre Campo,MG,Manhuaçu,Zona da Mata,Manhuaçu,Juíz de Fora
3100401,Acaiaca,MG,Ponte Nova,Zona da Mata,Ponte Nova,Juíz de Fora
3100500,Açucena,MG,Ipatinga,Vale do Rio Doce,Ipatinga,Ipatinga
3100609,Água Boa,MG,Peçanha,Vale do Rio Doce,Capelinha,Teófilo Otoni
3100708,Água Comprida,MG,Uberaba,Triângulo Mineiro/Alto Paranaíba,Uberaba,Uberaba
3100807,Aguanil,MG,Campo Belo,Oeste de Minas,Campo Belo,Varginha
3100906,Águas Formosas,MG,Nanuque,Vale do Mucuri,Águas Formosas,Teófilo Otoni
3101003,Águas Vermelhas,MG,Salinas,Norte de Minas,Pedra Azul,Teófilo Otoni
3101102,Aimorés,MG,Aimorés,Vale do Rio Doce,Aimorés - Resplendor,Governador Valadares
3101201,Aiuruoca,MG,Andrelândia,Sul/Sudoeste de Minas,Caxambu - Baependi,Pouso Alegre
3101300,Alagoa,MG,São Lourenço,Sul/Sudoeste de Minas,São Lourenço,Pouso Alegre
3101409,Albertina,MG,Poços de Caldas,Sul/Sudoeste de Minas,Pouso Alegre,Pouso Alegre
3101508,Além Paraíba,MG,Cataguases,Zona da Mata,Além Paraíba,Juíz de Fora
3101607,Alfenas,MG,Alfenas,Sul/Sudoeste de Minas,Alfenas,Varginha
3101631,Alfredo Vasconcelos,MG,Barbacena,Campo das Vertentes,Barbacena,Barbacena
3101706,Almenara,MG,Almenara,Jequitinhonha,Almenara,Teófilo Otoni
3101805,Alpercata,MG,Governador Valadares,Vale do Rio Doce,Governador Valadares,Governador Valadares
3101904,Alpinópolis,MG,Passos,Sul/Sudoeste de Minas,Passos,Varginha
3102001,Alterosa,MG,Alfenas,Sul/Sudoeste de Minas,Alfenas,Varginha
3102050,Alto Caparaó,MG,Manhuaçu,Zona da Mata,Manhuaçu,Juíz de Fora
3102100,Alto Rio Doce,MG,Viçosa,Zona da Mata,Barbacena,Barbacena
3102209,Alvarenga,MG,Aimorés,Vale do Rio Doce,Caratinga,Ipatinga
3102308,Alvinópolis,MG,Itabira,Metropolitana de Belo Horizonte,Ponte Nova,Juíz de Fora
